index,Function ID,Critical Work Function,Key Tasks
802,802,conduct tendering and estimation,"['review build up prices for unit rates and preliminary items', 'manage cost adjustment exercises and negotiations with shortlisted tenderers', 'report tenders received from contractors, specialists or sub-contractors', 'compile tender sums in accordance with defined margins for overheads and profits']"
803,803,conduct tendering and estimation,"['evaluate tenders received from contractors, specialists or sub-contractors', 'anticipate price fluctuations based on external factors', 'establish margins for overheads and profits in tender sums', 'lead cost adjustment exercises and negotiations with shortlisted tenderers']"
804,804,conduct tests for food quality,"['develop sampling plans for new product testing', 'develop testing protocols for materials, products and packaging for new products', 'verify alignment of testing activities and procedures with established protocols', 'verify documented test data for accuracy and possible issues with product safety and quality']"
805,805,conduct tests for food quality,"['perform physical testing on food products from new mass production lines', 'conduct follow-up tests on samples that require attention', 'perform appropriate actions for any abnormal occurrences affecting sampling conditions', 'guide testing activities to ensure correct test methods, conditions and processes are employed', 'guide sample collection activities, ensuring compliance with specified procedures', 'document, compile and summarise experimental data for review and interpretation']"
806,806,conduct tests for food quality,"['conduct chemical and microbiological tests', 'prepare samples, standards and solutions for testing of new products', 'assist in physical testing on new food products from mass production', 'assist in consolidating experimental data']"
807,807,conduct tests for food quality and packaging,"['develop inspection and testing protocols for materials, products and packaging', 'develop sampling plans for quality control purposes', 'establish standard operating procedures (sops) and conditions for handling, storage and preservation of samples', 'verify alignment of sampling documentation, testing activities and procedures with established protocols to identify anomalies and issues']"
808,808,conduct tests for food quality and packaging,"['generate reports and supporting documentation', 'guide sample collection activities according to specified procedures and take actions for abnormal occurrences affecting sampling conditions', 'guide testing activities to ensure correct testing volumes, conditions and processes are employed', 'perform routine and non-standard tests of materials and products independently', 'plan and monitor daily and monthly testing schedules and ensure samples are analysed within targeted plans', 'verify documented sampling and test data and conduct follow-up tests on samples that require attention']"
809,809,conduct tests for food quality and packaging,"['establish organisational plans for testing of products, associated materials and packaging', 'review and make recommendations to address anomalies and issues identified from the testing activities']"
810,810,conduct tests for food quality and packaging,"['perform tests on intermediate and finished products for compliance with food safety and other requirements', 'prepare samples, standards and solutions', 'document and report sampling conditions, testing activities and results']"
811,811,conduct threat hunting in the ot environment,"['develop cyber indicators to maintain awareness of the status of the ot environment', 'work with cybersecurity personnel to run test attacks and simulations on the systems to identify the possibilities of threats and extent of damage it could cause on ot systems', 'provide subject matter inputs on cyber threats in the ot environment']"
812,812,conduct threat hunting in the ot environment,"['utilise existing database of threats and attack histories to pre-empt and classify potential new threats', 'conduct research on new and existing threats that may impact existing ot systems', 'research and perform pro-active monitoring or scans of threats and attacks within the ot environment', 'search proactively for early indicators of compromise in the ot environment', 'analyse historical information and data to identify early indicators or potential threats', 'identify potential threat actor groups or individual activities', 'prepare threat hunting reports and propose escalation steps or mitigation actions']"
813,813,conduct tour preparation activities,"['perform research on sites', 'conduct ground recce of sites']"
814,814,conduct tour preparation activities,"['provide tour briefs to tour groups', 'review agreements between tour agencies and tour groups to guide response actions during tours', 'coordinate with relevant parties to ensure smooth operations for tours including travel coordination with bus captains']"
815,815,conduct tour services,"['coordinate with operations department regarding safety, disaster recovery and evacuation procedures', 'respond to emergencies and unexpected situations during tours', ""provide responses to tour groups' complaints"", 'coordinate accommodation, flights and transportation for outbound travel groups', 'address travel queries of tour groups', 'monitor safety and security of members within tour groups', 'provide information of logistic arrangements', 'provide information on tour destinations']"
816,816,conduct tour services,"['lead tour groups according to planned itineraries', 'tailor delivery of tour content and tour journeys to tour group demographics', 'deliver commentaries to enhance tour experience through local knowledge', 'explain tour sights to tour groups through use of visuals and storytelling']"
817,817,conduct trading activities to increase revenue,"['conduct commodity trades and futures trading of electricity', 'manage trading activities according to mark-to-market and value-at-risk optimisation', 'perform hedging of fuel prices']"
818,818,conduct transmission and/or distribution network planning,"['conduct tendering exercises for engineering services and equipment', 'recommend plans to address identified impact of forecasted power demands and distributed generation supply', 'vet project proposals for project feasibility based on evaluation of site suitability', 'vet layout, schematics, and technical specifications for 10-year network development plans']"
819,819,conduct transmission and/or distribution network planning,"['support the evaluation of the suitability of sites for development of infrastructure', 'collate materials for the forecasting of power demands and distributed generation supply', 'conduct site surveys for report preparation on surfaced issues']"
820,820,conduct transmission and/or distribution network planning,"['support the forecasting of power demands and distributed generation supply', 'support the preparation of 10-year transmission development plans', 'evaluate the suitability of sites for development of infrastructure', 'prepare technical specifications for tendering exercises for engineering services and equipment']"
821,821,conduct transmission and/or distribution network planning,"['prepare proposals for network development project feasibility, and integration of distributed generation sources and storage systems', 'review technical specifications prepared for tendering exercises for engineering services and equipment', 'lead the preparation of 10-year network development plans, including budget and technical specifications', 'conduct forecasting of power demands and distributed generation supply']"
822,822,conduct transmission and/or distribution network planning,"['lead in the preparation of project feasibility proposals based on evaluation of site suitability', ""review tendering decisions to ensure they advance the company's performance and operational goals"", 'develop long-term network plans based on forecasted power demands and distributed generation supply', 'present 10-year network development plan to stakeholders']"
823,823,conduct usability testing,"['assist in usability assessments and tests', 'identify and troubleshoot issues during usability assessments and tests', 'analyse the pros and cons of refinements and iterations based on usability assessments and tests']"
824,824,conduct usability testing,"['oversee usability and concept testing of prototypes in laboratory, remote and real-life settings', 'recommend refinements and iterations to design based on usability and concept testing results', 'analyse user feedback on the feasibility of user interface performance', 'improve the quality of interaction between the customer, product and the organisation']"
825,825,conduct usability testing,"['oversee all phases of usability testing', 'recommend alternative approaches to resolving user problems and ensure that product flows are logical', 'determine refinements and iterations based on usability testing results to create the ‘optimum’ user experience']"
826,826,conduct usability testing,"['drive strategies for enhancing customer satisfaction and loyalty', 'oversee the implementation of improvements to functionalities, design and navigation for application sites', 'address concerns raised regarding user interface performance', 'endorse refinement plans based on usability and concept testing results', 'direct all phases of usability and concept testing in laboratory, remote and real life settings']"
827,827,conduct usability testing,"['explore alternative approaches to resolve user issues while ensuring logical product flows', 'conduct usability assessments and tests of prototypes and interactive systems to gather feedback', 'recommend refinements and iterations based on usability testing results to achieve the ‘optimum’ user experience']"
828,828,conduct usability testing on uis,"['conduct usability testing to validate the ui prototype', 'assist in the implementation of uis', 'assist in developing prototypes for uis', 'support the evaluation of user interface effectiveness to visually guide the user through a product’s interface across all platforms', 'propose modifications in the design of user interface based on usability test findings']"
829,829,conduct usability testing on uis,"['determine modifications in ui designs based on usability test findings', 'approve ui designs']"
830,830,conduct usability testing on uis,"['oversee the conduct of usability testing to validate uis', 'evaluate the effectiveness of uis in meeting business and user needs and requirements', 'develop prototypes for uis', 'oversee the implementation of uis', 'recommend modifications in the design of ui based on usability test findings', 'prepare documentations for ui design implementation and compliance']"
831,831,conduct workplace performance diagnosis,"[""review client's organisational policies and processes to assess environment"", ""conduct research to assess client's organisation and industry context"", 'conduct root cause analyses to identify performance gaps and opportunities', 'conduct learner profile and learning needs analyses', 'engage key stakeholders to understand overall business and performance objectives', 'create workplace performance diagnosis report to define performance and learning gaps and opportunities']"
832,832,conduct youth outreach and engagement,"['implement interest or play-based programmes for youths with partner organisations', 'liaise with partner organisations', 'support mentoring of youths', ""implement the organisation's outreach plans"", 'implement core programmes and services to be delivered in schools']"
833,833,conduct youth outreach and engagement,"[""lead the development of organisation's outreach plans"", 'evaluate organisational mentoring frameworks and guidelines against outcome measures', 'lead development efforts to improve mentoring services', 'lead the development of the organisation’s communication and outreach strategies for schools', 'review organisational efforts to apply novel methods in interest or play-based outreach programmes']"
834,834,conduct youth outreach and engagement,"['organise interest or play-based programmes for youths with partner organisations', 'develop customised programmes and services in schools', 'build strategic relationships with partner organisations for delivery of interest and play-based programmes', 'supervise staff in mentoring youths', 'develop and improve youth outreach plans', 'adapt organisation mentoring frameworks and guidelines against outcome measures']"
835,835,conduct youth outreach and engagement,"['identify potential partner organisations', 'support implementation of core programmes and services offered in schools', 'support implementation of mentoring approaches', ""support implementation of the organisation's outreach plans"", 'participate in interest or play-based activities to engage youths']"
836,836,configure and administer networks,"['validate the software defined network (sdn) infrastructure within the it ecosystem', 'designate the direction for local area network (lan) and/or wide area network (wan), internet, wireless, and remote access services', 'perform technical evaluation and proof-of-concept of new technologies for network infrastructure', 'design cost-effective network systems and services that meet product specifications and comply to standards and best practices', 'prepare and execute test plans including integration, performance, coverage and capacity verification', 'oversee the installation, upgrading, operation, control, maintenance and effective use of lan and/or wan for the communication of data, voice, text or images', 'review technical documents for processes, technology and devices', 'review releases, upgrades and fixes available from systems software and supplies and identify those which merit action']"
837,837,configure and administer networks,"['provide suggestions on the direction for local area network (lan) and/or wide area network (wan), internet, wireless and remote access services', 'update network diagrams and documentation for design and planning of network communication systems', 'draft technical documents for processes, technology and devices', 'assist in determining infrastructure systems specifications, input/output (i/o)', 'processes and working parameters for hardware and/or software compatibility', 'configure, test, automate, integrate, model and analyse the software defined network (sdn) infrastructure within the it ecosystem', 'determine impact of network requirements on existing architecture, work processes and systems', 'participate in technical design reviews of applicable solutions']"
838,838,configure and deploy infrastructure,"['configure infrastructure environment for software development and prototyping', 'conduct pre-deployment testing of systems to ensure reliability', 'implement operational cost control mechanisms for cloud infrastructure', 'build and run large-scale, massively distributed and fault-tolerant systems', 'perform provisioning of cloud resources', 'identify and resolve deployment issues']"
839,839,conform to engineering audit requirements and standards,"['resolve queries which arise during auditing', 'approve documentation compiled for audits', 'address gaps identified in the audit results']"
840,840,conform to engineering audit requirements and standards,"['maintain documentation and records to facilitate accurate audits', 'administer the compilation of documentation to facilitate timely audits']"
841,841,conform to engineering audit requirements and standards,"['coordinate with contractors to compile documentation for audits', 'verify the accuracy of documentation provided by contractors']"
842,842,conform to engineering audit requirements and standards,"['review project audits completed by internal and external auditors', 'lead audits with internal and external stakeholders', 'determine projects to be audited based on limitations of time and resources']"
843,843,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for maintenance planning operations', 'review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for aircraft maintenance', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
844,844,conform to management system requirements,"['endorse sustainability practices for aircraft maintenance', 'drive compliance of maintenance operations with legislative requirements and airworthiness standards', 'approve standard operating procedures (sops) for aircraft maintenance operations', 'endorse environment, safety and health systems, policies and procedures', 'evaluate the effectiveness of organisational quality and risk management systems']"
845,845,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for aircraft maintenance', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems', 'propose enhancements to standard operating procedures (sops) for ndt operations']"
846,846,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for aircraft maintenance', 'establish new and revised standard operating procedures (sops) for quality operations', 'manage compliance with legislative requirements and airworthiness standards']"
847,847,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of quality operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance']"
848,848,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for aircraft maintenance', 'establish new and revised standard operating procedures (sops) for planning operations', 'manage compliance with legislative requirements and airworthiness standards']"
849,849,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of maintenance planning operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance']"
850,850,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of ndt operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance']"
851,851,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'establish new and revised standard operating procedures (sops) for aircraft maintenance operations', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for aircraft maintenance', 'manage compliance with legislative requirements and airworthiness standards', 'enhance environment, safety and health systems, policies and procedures', 'establish new and revised standard operating procedures (sops) for aircraft maintenance operations', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for aircraft maintenance', 'manage compliance with legislative requirements and airworthiness standards']"
852,852,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of aircraft maintenance operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance', 'ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of aircraft maintenance operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance', 'ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of aircraft maintenance operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance', 'ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of aircraft maintenance operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance']"
853,853,conform to management system requirements,"['endorse sustainability practices for fleet management', 'drive compliance of maintenance operations with legislative requirements and airworthiness standards', 'endorse environment, safety and health systems, policies and procedures', 'approve standard operating procedures (sops) for fleet management operations', 'evaluate the effectiveness of organisational quality and risk management systems']"
854,854,conform to management system requirements,"['identify relevant standard operating procedures (sops) for assembly activities', 'oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems']"
855,855,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for aircraft maintenance', 'propose enhancements to standard operating procedures (sops) for workshop operations', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
856,856,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for manufacturing operations', 'review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for manufacturing', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
857,857,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for fleet management', 'propose enhancements to standard operating procedures (sops) for quality operations', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
858,858,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for assembly operations', 'review compliance with legislative requirements and airworthiness standards', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of sustainability practices for assembly', 'contribute to the development of organisational quality and risk management systems']"
859,859,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for manufacturing design', 'review compliance with legislative requirements and airworthiness standards', 'enforce sustainability practices in manufacturing design', 'contribute to the development of organisational quality and risk management systems']"
860,860,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'establish new and revised standard operating procedures (sops) for quality operations', 'develop sustainability practices for manufacturing', 'manage compliance with legislative requirements and airworthiness standards']"
861,861,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of quality operations to standard operating procedures (sops)', 'implement sustainability practices for manufacturing', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
862,862,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'adopt sustainability practices in manufacturing design', 'implement organisational quality and risk management systems', 'ensure adherence of manufacturing design operations to standard operating procedures (sops)']"
863,863,conform to management system requirements,"['review organisational quality and risk management systems for improvements', 'establish new and revised standard operating procedures (sops) for manufacturing design', 'develop sustainability practices for manufacturing', 'manage compliance with legislative requirements and airworthiness standards']"
864,864,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of ndt operations to standard operating procedures (sops)', 'implement sustainability practices for manufacturing', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
865,865,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of assembly operations to standard operating procedures (sops)', 'implement sustainability practices for assembly', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
866,866,conform to management system requirements,"['oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems', 'identify relevant standard operating procedures (sops) for manufacturing planning activities']"
867,867,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'implement sustainability practices for manufacturing', 'ensure adherence of manufacturing operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
868,868,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for manufacturing', 'establish new and revised standard operating procedures (sops) for manufacturing planning operations', 'manage compliance with legislative requirements and airworthiness standards']"
869,869,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for manufacturing', 'establish new and revised standard operating procedures (sops) for manufacturing operations', 'manage compliance with legislative requirements and airworthiness standards', 'enhance environment, safety and health systems, policies and procedures', 'review organisational quality and risk management systems for improvements', 'develop sustainability practices for manufacturing', 'establish new and revised standard operating procedures (sops) for manufacturing operations', 'manage compliance with legislative requirements and airworthiness standards']"
870,870,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of manufacturing planning operations to standard operating procedures (sops)', 'implement sustainability practices for manufacturing', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
871,871,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for manufacturing', 'recommend improvements to environment, safety and health systems, policies and procedures', 'propose enhancements to standard operating procedures (sops) for manufacturing planning operations', 'contribute to the development of organisational quality and risk management systems']"
872,872,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'propose enhancements to standard operating procedures (sops) for quality operations', 'contribute to the development of sustainability practices for aircraft maintenance', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
873,873,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for aircraft fleet planning operations', 'review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for fleet management', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
874,874,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'implement sustainability practices for fleet management', 'ensure adherence of quality operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
875,875,conform to management system requirements,"['conform to environment, safety and health systems, policies and procedures', 'comply with legislative requirements and airworthiness standards', 'apply organisational quality and risk management systems', 'follow standard operating procedures (sops) in performing aircraft maintenance tasks', 'conform to environment, safety and health systems, policies and procedures', 'comply with legislative requirements and airworthiness standards', 'apply organisational quality and risk management systems', 'follow standard operating procedures (sops) in performing aircraft maintenance tasks']"
876,876,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of workshop operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'implement sustainability practices for aircraft maintenance']"
877,877,conform to management system requirements,"['propose enhancements to standard operating procedures (sops) for fleet management operations', 'review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for fleet management', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems', 'propose enhancements to standard operating procedures (sops) for fleet management operations', 'review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for fleet management', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
878,878,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of fleet management operations to standard operating procedures (sops)', 'implement sustainability practices for fleet management', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures', 'ensure compliance with legislative requirements and airworthiness standards', 'ensure adherence of fleet management operations to standard operating procedures (sops)', 'implement sustainability practices for fleet management', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
879,879,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'develop sustainability practices for fleet management', 'establish new and revised standard operating procedures (sops) for fleet management operations', 'review organisational quality and risk management systems for improvements', 'manage compliance with legislative requirements and airworthiness standards', 'enhance environment, safety and health systems, policies and procedures', 'develop sustainability practices for fleet management', 'establish new and revised standard operating procedures (sops) for fleet management operations', 'review organisational quality and risk management systems for improvements', 'manage compliance with legislative requirements and airworthiness standards']"
880,880,conform to management system requirements,"['ensure adherence of aircraft fleet planning operations to standard operating procedures (sops)', 'ensure compliance with legislative requirements and airworthiness standards', 'implement sustainability practices for fleet management', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
881,881,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'develop sustainability practices for fleet management', 'review organisational quality and risk management systems for improvements', 'establish new and revised standard operating procedures (sops) for aircraft fleet planning operations', 'manage compliance with legislative requirements and airworthiness standards']"
882,882,conform to management system requirements,"['manage compliance with corporate governance policies and legislative requirements', 'oversee manufacturing functions for compliance with workplace safety and health standards', 'develop quality management systems for manufacturing and business operations']"
883,883,conform to management system requirements,"['conform to environment, safety and health systems, policies and procedures', 'comply with legislative requirements and airworthiness standards', 'apply organisational quality and risk management systems', 'follow standard operating procedures (sops) in performing manufacturing tasks']"
884,884,conform to management system requirements,"['conform to environment, safety and health systems, policies and procedures', 'follow standard operating procedures (sops) in performing assembly tasks', 'comply with legislative requirements and airworthiness standards', 'apply organisational quality and risk management systems']"
885,885,conform to management system requirements,"['oversee conformance to environment, safety and health systems, policies and procedures', 'identify relevant standard operating procedures (sops) for manufacturing activities', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems']"
886,886,conform to management system requirements,"['oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'identify relevant standard operating procedures (sops) for aircraft fleet planning activities', 'supervise activities to ensure implementation of organisational quality and risk management systems']"
887,887,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'propose enhancements to standard operating procedures (sops) for quality operations', 'contribute to the development of sustainability practices for manufacturing', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems']"
888,888,conform to management system requirements,"['drive compliance of maintenance operations with legislative requirements and airworthiness standards', 'approve standard operating procedures (sops) for manufacturing operations', 'endorse environment, safety and health systems, policies and procedures', 'evaluate the effectiveness of organisational quality and risk management systems', 'endorse sustainability practices for manufacturing']"
889,889,conform to management system requirements,"['review compliance with legislative requirements and airworthiness standards', 'contribute to the development of sustainability practices for manufacturing', 'recommend improvements to environment, safety and health systems, policies and procedures', 'contribute to the development of organisational quality and risk management systems', 'propose enhancements to standard operating procedures (sops) for ndt operations']"
890,890,conform to management system requirements,"['enhance environment, safety and health systems, policies and procedures', 'develop sustainability practices for fleet management', 'review organisational quality and risk management systems for improvements', 'establish new and revised standard operating procedures (sops) for quality operations', 'manage compliance with legislative requirements and airworthiness standards']"
891,891,conform to management system requirements,"['identify relevant standard operating procedures (sops) for aircraft maintenance activities', 'oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems', 'identify relevant standard operating procedures (sops) for aircraft maintenance activities', 'oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems', 'identify relevant standard operating procedures (sops) for aircraft maintenance activities', 'oversee conformance to environment, safety and health systems, policies and procedures', 'monitor compliance with legislative requirements and airworthiness standards', 'supervise activities to ensure implementation of organisational quality and risk management systems']"
892,892,conform to management system requirements,"['conform to environment, safety and health systems, policies and procedures', 'comply with legislative requirements and airworthiness standards', 'follow standard operating procedures (sops) in performing engine and engine component maintenance tasks', 'apply organisational quality and risk management systems']"
893,893,conform to management system requirements,"['ensure compliance with legislative requirements and airworthiness standards', 'implement sustainability practices for engine and component maintenance', 'ensure adherence of engine and component maintenance operations to standard operating procedures (sops)', 'implement organisational quality and risk management systems', 'enforce conformance to environment, safety and health systems, policies and procedures']"
894,894,conform to management system requirements,"['ensure adherence to processes and procedures', 'supervise manufacturing work for workplace safety and health compliance', 'enforce good safety culture and manufacturing practices']"
895,895,conform to management system requirements,"['coordinate with external suppliers and customers on quality matters', 'monitor process performance data to establish control parameters', 'conduct technical presentations', 'monitor internal quality systems', 'enforce compliance of safety and good manufacturing practices and processes in production areas']"
896,896,conform to management system requirements,"['ensure adherence to processes and procedures', 'supervise manufacturing works for workplace safety and health compliance', 'enforce good safety culture and good manufacturing practices', 'ensure the robustness of processes using process control tools']"
897,897,conform to management system requirements,"['ensure adherence to processes and procedures', 'supervise manufacturing works for workplace safety and health compliance', 'enforce good safety culture and manufacturing practices', 'ensure the robustness of processes using process control tools']"
898,898,conform to management system requirements,"['supervise maintenance works for workplace safety and health compliance', 'ensure adherence to processes and procedures', 'enforce good safety culture and maintenance practices', 'supervise maintenance works for workplace safety and health compliance', 'ensure adherence to processes and procedures', 'enforce good safety culture and maintenance practices']"
899,899,conform to management system requirements,"['apply workshop practices, cleanliness and housekeeping protocols in accordance with standard operating procedures (sops)', 'apply standards and sops related to manufacturing safety policies and procedures', 'apply organisational quality systems in manufacturing production tasks', 'apply workshop practices, cleanliness and housekeeping protocols in accordance with standard operating procedures (sops)', 'apply standards and sops related to manufacturing safety policies and procedures', 'apply organisational quality systems in manufacturing production tasks']"
900,900,conform to management system requirements,"['enforce compliance to safety and good manufacturing practices and processes in production areas', 'monitor and ensure adherence to quality standards in accordance with product specifications', 'monitor process performance data to establish good control parameters', 'provide reliability presentations for audit and management reporting', 'investigate root causes of product and process failures', 'execute benchmarked reliability test plans', 'maintain quality assurance systems']"
