role_id,sector,track,track_list,job_role,job_role_list,job_role_description,occupation,sub-sector,sub-track
r500,energy and power,gas systems operations,['gas systems operations'],gas systems operations manager,['gas systems operations manager'],"the gas systems operations manager oversees the operations of system control centre, gas transportation network and gas market in accordance with relevant standards and procedures to ensure a continuous supply of gas in the network. he/she oversees network analysis to determine the natural gas capacities of the different networks and the available capacities for booking by shippers. he oversees project implementation and engagement with key stakeholders. he approves standards for response processes and measures to resolve abnormalities that arise from the network system. he also reviews management reports on market operations, injection tolerance and nomination divergence. he collaborates with the crisis management team on emergency situations and recovery activities. to scale up the organisation's cybersecurity capabilities, he collaborates with the cybersecurity team to drive the implementation and enforcement of cybersecurity measures, and drives implementation of mitigation measures to address the risks identified through vulnerability assessments and penetration testings. he coaches team according to their strengths and areas of development to help them achieve performance targets. he reviews overall training and development plans for the department to ensure that they are aligned with organisational plans.

he works in the control room, where he uses equipment such as control panels, consoles and computers to manage gas operations.

he has good communication and leadership skills to motivate and drive positive work attitudes in the team. he is detail-oriented and systematic in planning operational procedures. in addition, he is responsible and confident in managing stakeholders under emergency situations, faults and outages.",manager,gas,gas systems operations
r501,energy and power,gas systems operations,['gas systems operations'],gas systems operations principal engineer,['gas systems operations principal engineer'],"the gas systems operations principal engineer reviews the operating procedures of system control centre operation, gas transportation network and gas market in accordance with relevant standards and procedures to ensure a continuous supply of gas in the network. he/she leads the network analysis to determine the natural gas capacities of different networks and the available capacities for booking by shippers. he provides technical direction on gas system operation project requirements. he reviews response processes and measures to resolve abnormalities in the network system. he also supervises the technical contents of management reports on market operations, injection tolerance and nomination divergence, and defines the load profiling methodologies for capacity certificates. he formulates technical training and development plans for the teams and leads staff technical
capability development programmes. he proposes emergency technical and recovery activities based on the crisis management framework. he also evaluates the severity of cyber incidents to determine the type of responses needed, and provides technical advisories in the implementation of vulnerability assessments and penetration testings.

he works in the control room, where he uses equipment such as control panels, consoles and computers to manage gas operations. he may be required to perform occasional rotating shift work as the operations are conducted round the clock.

he has good leadership skills to lead junior team members, and engages the key stakeholders. he is systematic and approachable in guiding the team on operational procedures. he is responsible and nimble in responding effectively to emergency situations, faults and outages.",engineer,gas,gas systems operations
r502,energy and power,gas systems operations,['gas systems operations'],gas systems operations senior technical officer,['gas systems operations senior technical officer'],"the gas systems operations senior technical officer supervises the operations of system control centre, gas transportation network and gas market in accordance with relevant standards and procedures to ensure a continuous supply of gas in the network. he/she coordinates with key stakeholders for projects and prepares technical specifications for tenders. he performs maintenance of the gas system and network by implementing measures to resolve abnormalities in the network system and investigating reported system faults. he also prepares management reports on market operations, injection tolerance and nomination divergence, and verifies billing cases in settlement and billing system. he develops staff capabilities through on-the-job training and coaching.

he works as a shift leader managing the team in the system control centre and may be required to perform rotating shift work as the operations are conducted round the clock. he works in the control room, where he uses equipment such as control panels, consoles and computers to manage gas operations. he knows the emergency protocols and supervises the emergency response team in the event of emergencies.

he is observant and systematic in conducting the operations, and has good interpersonal skills to supervise the junior team members and contractors. he is alert and calm in responding effectively to emergency situations, faults and outages.",technical officer,gas,gas systems operations
r503,energy and power,gas systems operations,['gas systems operations'],gas systems operations technical officer,['gas systems operations technical officer'],"the gas systems operations technical officer conducts the operations of system control centre, gas transportation network and gas market in accordance with relevant standards and procedures to ensure a continuous supply of gas in the network. he/she supports in the natural gas network analysis on shipper nominations, and generates reports related to the operations. he supports permit-to-work procedures, identifies measures to resolve abnormalities that arise from the network system, and responds to reported system faults. he also supports the preparation of management reports on market operations, injection tolerance and nomination divergence, and executes billing cases in the settlement and billing system for verification of accuracy. in times of emergency, he guides staff on emergency response plans and relevant safety procedures.

he works in the system control centre and may be required to perform rotating shift work as the operations are conducted round the clock. he should be physically fit and have good eyesight as the job involves the operations of network on the supervisory control and data acquisition (scada) system and multiple screens for long hours.

he is alert and systematic in conducting the operations, and has good interpersonal skills to liaise with the team and contractors. he is agile and calm in responding effectively to emergency situations, faults and outages.",technical officer,gas,gas systems operations
r504,energy and power,gas transmission and distribution,['gas transmission and distribution'],gas transmission and distribution department manager,['gas transmission and distribution department manager'],"the gas transmission and distribution department manager formulates the gas network strategies, planning and development in alignment with business requirements and oversees the natural gas transmission and/or distribution projects. he/she drives the adoption of best practices for process improvement and establishes the procedures and policies according to safety requirements. he reviews the standard operating procedures (sops) for cybersecurity operations and defence mechanisms.

he establishes innovative safe work practices based on industry best practices, and defines policies and sops for permit-to-work system. he liaises with external stakeholders, such as local authorities, on safety standards and compliance. he formulates emergency response strategies, plans and procedures. in times of emergency, he oversees emergency responses as a site main controller. he contributes to the formulation of the organisation's business plans, and plans the budgets and work plans of the department in alignment to the organisation's objectives. he also conducts manpower planning for the department and oversees their training and development.

he is a decisive, communicative and strong leader who has foresight in identifying trends and new solutions to adopt, and is able to lead and drive the department and manage key stakeholders effectively.",manager,gas,"network planning and strategy, network development and operations and maintenance"
r505,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development engineer,['network development engineer'],"the network development engineer develops the front-end designs, project specifications and implementation schedules of gas transmission and/or distribution development projects, supervises the development projects and monitors the progress of construction activities. he/she inspects sites to ensure compliance with metering and sensor requirements, modifications and upgrading of metering facilities by contractors and staff. he liaises with various stakeholders for the specification requirements of the projects. he develops staff capabilities using appropriate capability development interventions and through on-the-job training.

he monitors permits-to-work procedures, and interprets safe system of work (ssow) frameworks and practices to his area of work. in times of emergency, he analyses the impact of emergency responses and relevant safety procedures on business operations, and facilitates the emergency response team’s activities on site incident management. he occasionally works at construction sites for the gas transmission and/or distribution network development projects.

he has an analytical mindset in developing network development plans for the team. he demonstrates good leadership and communication skills in leading the execution of projects.",engineer,gas,network development
r506,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development manager,['network development manager'],"the network development manager oversees development projects and reviews the overall project plans and specifications of gas transmission and/or distribution development projects according to statutory, industry and customers’ requirements. he/she drives the progress of construction activities and payments according to the requirements and timelines, and controls the operating and capital expenditure budgets. he manages the procurement, installations and maintenance of metering and sensor equipment and metering stations. he manages key stakeholders through the implementation of projects. to develop staff capabilities, he reviews training and development plans according to the organisation’s needs and manages the strengths and development areas of the teams.

he manages overall safe system of work (ssow) practices according to statutory requirements and best industry practices. he collaborates with the crisis management team on emergency situations and recovery activities, and leads emergency responses as a site incident controller.

he is a decisive and strong team leader who drives projects, builds partnerships and manages key stakeholders effectively.",manager,gas,network development
r507,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development principal engineer,['network development principal engineer'],"the network development principal engineer reviews project technical designs, plans and specifications of gas transmission and/or distribution development projects and metering and sensor equipment. he/she also reviews the costs incurred by projects, leads the technical aspects of development projects, as well as discussions with key stakeholders. he reviews metering and sensor maintenance programmes to drive process improvement. he leads technical capability development programmes, including on-the-job training and coaching, and formulates the technical training and development plans for the teams.

he manages the permits-to-work for the team, and establishes safe system of work (ssow) frameworks and practices for his area of work. he proposes emergency technical and recovery activities based on the crisis management framework, and determines the responses needed in emergency situations. he occasionally works at construction sites for the gas transmission and/or distribution network development projects.

he has an analytical mindset in developing network development plans for the team. he is a decisive and strong technical leader who provides valuable technical advices to team members and the wider engineering community.",engineer,gas,network development
r508,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development senior technical officer,['network development senior technical officer'],"the network development senior technical officer contributes to the development of gas transmission and/or distribution project concept plans and specifications, guides junior team members in site activities and verifies the construction activity records and project progress reports. he/she supervises the installations, testings and commissioning of meters, sensors and metering stations, and monitors project expenses against the approved budget. he liaises with relevant authorities regarding approvals and other project requirements. to develop staff capabilities, he conducts on-the-job training when required and identifies appropriate training and development courses for staff.

he issues work orders for permits-to-work and supervises works according to safe system of work (ssow) practices. in times of emergency, he implements emergency response plans and relevant safety procedures, and supervises the emergency response team on site incident management. he occasionally works at construction sites for gas transmission and/or distribution network development projects.

he is a good team player who collaborates and guides team members and contractors. he is detail-oriented and analytical in resolving issues and ensuring the successful installations of equipment.",technical officer,gas,network development
r509,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development technical officer,['network development technical officer'],"the network development technical officer implements the gas transmission and/or distribution network development projects, supervises site activities, and checks construction activity records and project progress reports. he/she performs the installations, testings and commissioning of meters, sensors and metering stations at non-residential sites, and liaises with relevant authorities and parties for the obtainment of permit approvals. to develop staff capabilities, he supports on-the-job training programmes and suggests appropriate training and development courses for staff.

he applies for permits-to-work for identified works and performs works according to safe system of work (ssow) practices and safety regulations. in times of emergency, he responds accordingly as an emergency response team member to plans and relevant safety procedures. he occasionally works at construction sites for the gas transmission and/or distribution network development projects.

he is a good team player who collaborates and communicates effectively with internal and external stakeholders. he is detailed in ensuring that operations are carried out according to procedural guidelines.",technical officer,gas,network development
r510,energy and power,gas transmission and distribution,['gas transmission and distribution'],network development technician,['network development technician'],"the network development technician implements gas transmission and/or distribution network development projects and monitors site activities. he/she supports the preparation of construction activity records, project progress reports and materials required for payments. he also liaises with contractors and customers to carry out metering works and performs the installation, testing and commissioning of residential meters.

he applies safe system of work (ssow) procedures and risk control measures to ensure work activities are carried out safely, and in compliance with workplace safety and health (wsh) act. he is a member of the emergency response team and follows emergency response plans and relevant safety procedures. he occasionally works at construction sites for the gas transmission and/or distribution network development projects.

he is a good team player who collaborates and communicates effectively with key stakeholders. he is detailed in ensuring that operations are carried out according to procedural guidelines.",technician,gas,network development
r511,energy and power,gas transmission and distribution,['gas transmission and distribution'],network planning and strategy engineer,['network planning and strategy engineer'],"the network planning and strategy engineer reviews proposals on project feasibility based on the evaluations conducted on site suitability to facilitate network planning. he/she prepares the layouts, schematics and long-term development plans for network projects, and generic specifications before procuring multiple types of assets. to enhance operational efficiency in network planning, he identifies new solutions and technologies in engineering practices. he gathers insights on condition monitoring, network performance and failures through data analytics, and contributes to the development of asset management and asset renewal policies and plans. he leads projects on process improvement and innovation.

he works in a collaborative and intellectually-stimulating environment. he contributes to staff capability development by carrying out appropriate capability development interventions and on-the-job training. he occasionally works outdoors along pipelines for site surveys.

he is insightful and displays good critical thinking and analytical skills in conducting network planning and strategisation. he possesses good interpersonal and communication skills to engage with key stakeholders.",engineer,gas,network planning and strategy
r512,energy and power,gas transmission and distribution,['gas transmission and distribution'],network planning and strategy manager,['network planning and strategy manager'],"the network planning and strategy manager oversees the network planning team and establishes broad policies and procedures for project feasibility proposal evaluation, procurement of assets and asset renewal. to enhance asset management and network planning, he/she implements new solutions and technologies. he sets the strategy and direction to drive innovation and process improvement, in line with the organisational strategy. he establishes insights and follow-up actions based on data analytics and simulation models conducted on network performance and equipment condition. he coaches the team according to their strengths and areas of development to help them achieve performance targets. he reviews overall training and development plans for the department to ensure that they are aligned with organisational plans.

he works in an intellectually-stimulating and collaborative environment, where he occasionally works outdoors along pipeline for site surveys.

he possesses foresight and is innovative in establishing new solutions and methods to enhance network planning and asset strategies. he builds strong partnerships and networks with key stakeholders and the engineering community.",manager,gas,network planning and strategy
r513,energy and power,gas transmission and distribution,['gas transmission and distribution'],network planning and strategy principal engineer,['network planning and strategy principal engineer'],"the network planning and strategy principal engineer contributes to policy development initiatives on project feasibility and refines policies on network renewal projects to facilitate network planning. he/she reviews generic specifications and procures multiple types of assets. to enhance the engineering practices used in network planning, he facilitates the implementation of new solutions and technologies. he reviews policies and plans for the prioritisation of assets due for renewal and proposes technical solutions for the development of asset management policies and plans. he reviews simulation models and leads data analytic activities carried out by the team for network performance and equipment condition. he develops approaches to champion innovation and process improvement. he leads technical capability development programmes, including on-the-job training and coaching, and formulates the technical training and development plans for the teams.

he works in an intellectually-stimulating and collaborative environment, and occasionally goes outdoor along pipelines for site surveys.

he builds strong partnerships and networks with key stakeholders and the engineering community. he possesses exceptional critical thinking and analytical skills in network planning and strategy.",engineer,gas,network planning and strategy
r514,energy and power,gas transmission and distribution,['gas transmission and distribution'],network planning and strategy senior technical officer,['network planning and strategy senior technical officer'],"the network planning and strategy senior technical officer supervises site suitability and pipe and equipment accessibility assessments to facilitate network planning. he/she reviews the layouts, schematics and long-term development plans for network projects, and performs simulation modelling of gas networks to analyse performance. he carries out project activities that champion process improvement and innovation. to build capabilities, he conducts on-the-job training and identifies appropriate training and development courses for staff.

he works in a collaborative and intellectually-stimulating environment and occasionally goes outdoors along pipelines for site surveys.

he is a good team player and demonstrates good planning and problem-solving skills in preparing network plans and strategies. he possesses good interpersonal and communication skills to engage with key stakeholders.",technical officer,gas,network planning and strategy
r515,energy and power,gas transmission and distribution,['gas transmission and distribution'],network planning and strategy technical officer,['network planning and strategy technical officer'],"the network planning and strategy technical officer contributes to network planning by preparing proposals on project feasibility based on his/her evaluation of the suitability of sites for the development of network infrastructure and accessibility of pipes and equipment. he also prepares the layout, schematics and long-term development plans for network and renewal projects. he collects data for the development of asset management policies and performs simulation modelling of gas networks to analyse their performance. he assists in projects on process improvement and innovation.

he works in a collaborative and intellectually-stimulating environment and occasionally goes outdoor along pipelines for site surveys.

he is a team player with good analytical and problem-solving skills to support the network planning and strategy team. he demonstrates good communication and interpersonal skills in working with others.",technical officer,gas,network planning and strategy
r516,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance engineer,['operations and maintenance engineer'],"the operations and maintenance engineer evaluates improvement measures for irregularities in the gas transmission and/or distribution network based on operational statistics. he/she performs computer network analysis and pressure profile simulations to evaluate improvement measures to enhance network resiliency and integrity. he analyses the leak survey results on medium and low-pressure gas pipeline and implements gas pipe inspection and replacement programmes in accordance with regulatory requirements. he analyses the impact of cybersecurity and access control on network development policies, procedures and guidelines. he prepares terms and specifications for contracts and supervises the execution of works according to contractual terms. in addition, he monitors the capital and operating expenditures to ensure that the budget requirements are met. to develop staff capabilities, he conducts on-the-job training, and analyses the strengths and developmental areas of staff.

he monitors permits-to-work procedures, and interprets safe system of work (ssow) frameworks and practices to his area of work. in times of emergency, he analyses the impact of emergency responses and relevant safety procedures on business operations, and facilitates the emergency response team’s activities on site incident management. he works in the office at the headquarters or at the sites, and is required to perform standby duties.

he is a communicative and good team leader and engages with internal and external stakeholders for operational requirements. he is analytical and systematic in resolving issues and enforcing maintenance procedures within the safety and operational guidelines.",engineer,gas,operations and maintenance
r517,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance manager,['operations and maintenance manager'],"the operations and maintenance manager oversees the operations and maintenance team in gas transmission and/or distribution. he/she reviews the overall guidelines and standard operating procedures (sops) and plans improvement works to enhance network resiliency and integrity. he oversees the management of gas inspection
and leakage survey operations, and manages gas pipe inspection and replacement programmes in accordance with regulatory requirements. he also leads the contract management processes and collaborates with the cybersecurity team to drive the implementation and enforcement of cyber security measures in the development of the transmission and/or distribution network. he manages the strengths and developmental areas of the teams, and leads communication sessions with staff to facilitate team effectiveness.

he manages the overall safe system of work (ssow) practices and risk control measures to ensure work activities are carried out safely. he leads emergency responses as a site incident controller and collaborates with the crisis management team on emergency situations and recovery activities. he oversees the management of maintenance works at the pipeline sites or from the office.

he is a decisive, communicative and strong leader who has the foresight in identifying trends and new solutions to adopt and manages the team and key stakeholders effectively.",manager,gas,operations and maintenance
r518,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance principal engineer,['operations and maintenance principal engineer'],"the operations and maintenance principal engineer provides technical leadership in the operations and maintenance of gas transmission and/or distribution network and leads improvement works to enhance network resiliency and integrity. he/she devises comprehensive technical guidelines and standard operating procedures (sops) for the operations of the network system and high-pressure gas metering stations. he reviews contractual terms and specifications, and ensures that project works are carried out accordingly. he reviews the leak survey results on medium and low-pressure gas pipeline in the distribution network. he also reviews the network development policy, procedures and guidelines to ensure cybersecurity measures are implemented in the transmission and/or distribution network. he reviews contractual terms and specifications and ensures that project works are carried out according to these. he also executes the operating and capital expenditures for the team. to build staff capabilities, he formulates technical training and development plans for the team and leads training and development programmes.

he establishes the safe system of work (ssow) frameworks, practices and risk control measures to ensure work activities are carried out safely. he evaluates the severity of emergency situations, determines the type of responses needed, and proposes the emergency technical and recovery activities based on the crisis management framework. he works in the office at the headquarters or at the sites, and is required to perform standby duties.

he is a decisive, communicative and strong technical leader who provides effective technical guidance to team members and contractors, and engage various stakeholders regarding projects, regulations and compliance. he is detail-oriented and systematic in planning maintenance procedures.",engineer,gas,operations and maintenance
r519,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance senior technical officer,['operations and maintenance senior technical officer'],"the operations and maintenance senior technical officer implements improvement measures for irregularities in the gas transmission and/or distribution network as well as the functionality of network equipment. he/she leads the leak surveys on medium and low-pressure gas pipelines, and gas equipment replacements in accordance with regulatory requirements. he monitors the execution of works according to contracts and guides the team to implement cybersecurity and access control frameworks, policies, procedures and guidelines. to develop staff capabilities, he conducts on-the-job training and identifies appropriate training and development courses for the
staff.

he issues work orders for permits-to-work and supervises works according to safe system of work (ssow) practices. in times of emergency, he implements emergency response plans and relevant safety procedures, and supervises the emergency response team on site incident management. he leads the inspections of worksites and maintenance checks of pipelines. he works in the control room and occasionally at the pipeline sites. he may be required to perform rotating shift work.

he is a good team player who collaborates and guides team members and contractors. he is detail-oriented and systematic in resolving issues and conducting maintenance procedures.",technical officer,gas,operations and maintenance
r520,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance technical officer,['operations and maintenance technical officer'],"the operations and maintenance technical officer investigates irregularities in the gas transmission and/or distribution network system as well as the functionality of network equipment. he/she conducts leak surveys on medium and low-pressure gas pipelines and other gas inspections and replacements in accordance with regulatory requirements. he monitors the execution of works according to contractual terms and implements the cybersecurity and access control framework, policies, procedures and guidelines. to build staff capabilities, he provides on-the- job training.

he applies for permits-to-work for identified faults, and performs works according to safe system of work (ssow) practices and safety regulations. in times of emergency, he responds accordingly as an emergency response team member to plans and relevant safety procedures. he works in the control room and occasionally at the pipeline sites. he may be required to perform rotating shift work.

he has good interpersonal skills and is a good team player in liaising with team members and contractors. he is detail-oriented and systematic in conducting maintenance procedures.",technical officer,gas,operations and maintenance
r521,energy and power,gas transmission and distribution,['gas transmission and distribution'],operations and maintenance technician,['operations and maintenance technician'],"the operations and maintenance technician checks for irregularities in the gas transmission and/or distribution network system as well as the functionality of network equipment. he/she supports leak surveys on medium and low-pressure gas pipelines and conducts pipe inspections and replacements in accordance with regulatory requirements. he raises notifications of any deviations from contractual terms in the execution of works.

he applies for permits-to-work for identified faults, and performs works according to safe system of work (ssow) practices. in times of emergency, he responds accordingly as an emergency response team member to plans and relevant safety procedures. he works in the control room and occasionally at the pipeline sites. he performs standby duties and rotating shift work.

he has good interpersonal skills and is a good team player in liaising with team members and contractors. he is detail-oriented and systematic in conducting maintenance procedures.",technician,gas,operations and maintenance
r522,energy and power,liquefied natural gas trading and research,['liquefied natural gas trading and research'],lng research analyst,['lng research analyst'],"the liquefied natural gas research analyst supports the lng trading team in identifying opportunities for closing deals and increasing portfolio value. he/she conducts research using market and economic data for the preparation of market reports and analyses data regarding risks associated with trading deals. he engages clients on presentations on market insights and liaises with key stakeholders for the preparation of hedging activities.

he works in a dynamic and fast-paced environment where he must provide accurate analyses and research material to support the closing of deals.

he is a decisive, analytical and self-motivated individual who is comfortable with numbers and able to work under pressure.",analyst,gas,liquefied natural gas (lng) trading and research
r523,energy and power,liquefied natural gas trading and research,['liquefied natural gas trading and research'],lng trading trader,['lng trading trader'],"the lng trading trader manages financial deals, portfolio value and related financial risks by analysing opportunities and executing deals on a spot and term basis to increase portfolio value. he/she conducts research and analyses on appropriate trading deals and prepare market reports. he conducts lng breakbulk services by making decisions on the optimal purchase timings, quantities and delivery modes and collaborating with the bunkering teams for the management of lng breakbulk services. he also manages relationships between counterparties for trade executions, and prepares contracts for transactions. he builds staff capabilities by managing the team's strengths and developmental areas, and leading work and well-being communication sessions with the staff.

he works in a dynamic and fast-paced environment where he must make timely decisions based on market movements and trends.

he is a decisive, analytical and self-motivated individual who can communicate well and is able to work under pressure involving tight timelines.",trader,gas,liquefied natural gas (lng) trading and research
r524,energy and power,liquefied natural gas trading and research,['liquefied natural gas trading and research'],lng trading and research head,['lng trading and research head'],"the lng trading and research head leads the trading team in managing financial deals, portfolio value and related financial risks by developing trading strategies on spot and term basis and optimising trading decisions across portfolios to maximise revenue, while balancing the needs of multiple stakeholders. he oversees client engagement on research and market insights. he leads the planning of lng breakbulk services with the bunkering team, and manages counterparty contracts by reviewing contracts for compliance with regulations, and builds strategic relationships with counterparties. he conducts manpower planning, and sets the direction for the department’s operations by managing the budget and formulating the annual work plan.

he works in a dynamic and fast-paced environment where he must make timely decisions based on market movements and trends.

he is a forward-looking and results-oriented individual who can work well under pressure and is able to provide strategic direction in enhancing the organisation's portfolio value and profitability.",manager,gas,liquefied natural gas (lng) trading and research
r525,energy and power,power generation,['power generation'],engineering and maintenance department manager,['engineering and maintenance department manager'],"the engineering and maintenance department manager oversees the asset management team in carrying out maintenance of the plant equipment across the mechanical, electrical, control and instrumentation teams to ensure that power is generated reliably in the plant. he/she also oversees emergency response planning and recovery activities. he engages the original equipment manufacturer (oem) representatives and authorities on asset management works, and provides strategic direction for the team based on innovative best practices. he also oversees the planning and execution of cybersecurity incident responses and initiates vulnerability assessment and penetration testing on the operation systems. 

he formulates the maintenance work plans, manpower allocation plans and budgets to orientate the department towards meeting organisational goals. he works in the administration office of the power plant, which is typically situated in the industrial areas of singapore. he also deals with the equipment in the power plant station, such as generators, motors, turbines, high pressure vessels, boilers, condensers and compressors. 

he possesses good leadership skills to align the department with organisational goals, and stay updated on industry best practices. he is also adept at establishing rapport with external stakeholders.",manager,electricity,engineering and maintenance
r526,energy and power,power generation,['power generation'],engineering and maintenance engineer,['engineering and maintenance engineer'],"the engineering and maintenance engineer supervises the asset management team in carrying out preventive and corrective maintenance of the plant equipment. he/she performs predictive maintenance and reliability-centred maintenance works, implements plant improvement projects and reviews plant incidents and responses. in a bid to protect the plant against cyberthreats, he carries out cybersecurity operations in monitoring, preparing and responding to incidents. he develops staff capabilities using appropriate capability development interventions and through on-the-job training.

he monitors the execution of permits-to-work procedures, and implements safe system of work (ssow) frameworks and practices to his area of work. in times of emergency, he analyses the impact of emergency responses and relevant safety procedures on business operations. he also facilitates the emergency response team’s activities on site incident management. he works in the administration office of the power plant, which is typically situated in the industrial areas of singapore. he also deals with the equipment in the power plant station equipment, such as generators, motors, turbines, high pressure vessels, boiler, condensers and compressors.

he is detail-oriented and systematic in conducting maintenance procedures and has good communication skills to collaborate with his team. in addition, he is agile and quick-witted in responding effectively to faults and outages. furthermore, he is intellectually curious in identifying ways to improve the plants' preparedness against cyberthreats.",engineer,electricity,engineering and maintenance
r527,energy and power,power generation,['power generation'],engineering and maintenance manager,['engineering and maintenance manager'],"the engineering and maintenance manager oversees the asset management team in carrying out predictive, preventive and corrective maintenance of the plant equipment to ensure that power is generated reliably in the plant. he/she reviews work carried out by the team, and contractors, as well as establishes follow-up actions to be taken. he conducts the planning of asset management and reliability centred maintenance to improve efficiency in maintenance. in a bid to protect the plant against cyberthreats, he develops and formulates the cybersecurity framework, procedures and guidelines. he coaches the team according to their strengths and areas of development to help them achieve performance targets. he reviews overall training and development plans for the department to ensure that they are aligned with organisational plans.

he manages overall safe system of work (ssow) practices according to statutory requirements and best industrial practices. he collaborates with the crisis management team on emergency situations and recovery activities, and leads emergency responses as a site incident controller. he works in the administration office of the power plant, which is typically situated in the industrial areas of singapore. he also deals with the equipment in the power plant station, such as generators, motors, turbines, high pressure vessels, boiler, condensers and compressors. 

he possesses good leadership skills to lead junior team members and contractors. he is detail-oriented and systematic in developing plans for the department. in addition, he is agile and quick-witted in adapting to emergency situations. furthermore, he is innovative in finding ways to improve the plants' preparedness against cyberthreats. he demonstrates good networking skills to collaborate with authorities and other stakeholders for statutory inspections and other requirements.",manager,electricity,engineering and maintenance
r528,energy and power,power generation,['power generation'],engineering and maintenance principal engineer,['engineering and maintenance principal engineer'],"the engineering and maintenance principal engineer provides technical leadership to the asset management team in carrying out predictive, preventive and corrective maintenance of the plant equipment, reviews work carried out by the team and formulates follow-up actions to be taken. he/she leads in asset management and reliability centred maintenance works to improve efficiency. he leads the technical aspects of the execution of cybersecurity framework and procedures, and develops staff capabilities by formulating technical training and development plans for the teams. he leads technical capability development programmes, including on-the-job training and coaching, and formulates the technical training and development plans for the teams.
 
he manages the permits-to-work for the team, and establishes safe system of work (ssow) frameworks and practices for his area of work. he proposes emergency technical and recovery activities based on the crisis management framework, and determines the responses needed in emergency situations. he works in the administration office of the power plant, which is typically situated in the industrial areas of singapore. he also deals with the equipment in the power plant station, such as generators, motors, turbines, high pressure vessels, boilers, condensers and compressors. 

he possesses good leadership skills to lead junior team members and contractors. he is detail-oriented and systematic in conducting maintenance procedures. in addition, he is agile and quick-witted in responding effectively to faults and outages. furthermore, he is innovative in finding ways to improve the plants' preparedness against cyberthreats.",engineer,electricity,engineering and maintenance
r529,energy and power,power generation,['power generation'],engineering and maintenance senior technical officer,['engineering and maintenance senior technical officer'],"the engineering and maintenance senior technical officer carries out preventive and corrective maintenance of the plant equipment according to safety and maintenance procedures to ensure that power is generated reliably in the plant. he/she leads routine inspections and supervises contractors in maintenance works. he conducts on-the-job training when required and identifies appropriate training and development courses for staff to develop capabilities of the team. 

he issues work orders for permits-to-work, and supervises works according to safe system of work (ssow) practices. in times of emergency, he implements emergency response plans and relevant safety procedures, and supervises the emergency response team on site incident management. he works in the administration office of the power plant, which is typically situated in the industrial areas of singapore. he also deals with the equipment in the power plant station, such as generators, motors, turbines, high pressure vessels, boilers, condensers and compressors. 

he possesses good interpersonal and communication skills to supervise junior team members and contractors. he is detail-oriented and systematic in conducting maintenance procedures. in addition, he is agile and quick-witted in responding to faults and outages.",technical officer,electricity,engineering and maintenance
